algorithm,input_size,distribution,elapsed_time
bubble_sort,100,random,0.0002185420598834753
bubble_sort,100,sorted,3.7499703466892242e-06
bubble_sort,100,reverse-sorted,0.00025095907039940357
bubble_sort,500,random,0.00570820807479322
bubble_sort,500,sorted,1.4459015801548958e-05
bubble_sort,500,reverse-sorted,0.006550041027367115
bubble_sort,1000,random,0.024558874894864857
bubble_sort,1000,sorted,3.15000070258975e-05
bubble_sort,1000,reverse-sorted,0.02884866704698652
bubble_sort,5000,random,0.7200807919725776
bubble_sort,5000,sorted,0.00016087503172457218
bubble_sort,5000,reverse-sorted,0.7839345410466194
bubble_sort,10000,random,2.6244645420229062
bubble_sort,10000,sorted,0.00032462505623698235
bubble_sort,10000,reverse-sorted,3.1847234999295324
insertion_sort,100,random,0.00013608403969556093
insertion_sort,100,sorted,6.66698906570673e-06
insertion_sort,100,reverse-sorted,0.00022379204165190458
insertion_sort,500,random,0.0031049590324983
insertion_sort,500,sorted,3.02919652312994e-05
insertion_sort,500,reverse-sorted,0.005974750034511089
insertion_sort,1000,random,0.012783749960362911
insertion_sort,1000,sorted,6.137497257441282e-05
insertion_sort,1000,reverse-sorted,0.025096000055782497
insertion_sort,5000,random,0.3340898749884218
insertion_sort,5000,sorted,0.0003250830341130495
insertion_sort,5000,reverse-sorted,0.6584818749688566
insertion_sort,10000,random,1.3601769170491025
insertion_sort,10000,sorted,0.0006650000577792525
insertion_sort,10000,reverse-sorted,2.6658759170677513
merge_sort,100,random,0.00013429205864667892
merge_sort,100,sorted,5.958403926342726e-05
merge_sort,100,reverse-sorted,5.870801396667957e-05
merge_sort,500,random,0.0005498750833794475
merge_sort,500,sorted,0.0003404580056667328
merge_sort,500,reverse-sorted,0.00034499994944781065
merge_sort,1000,random,0.0010931250872090459
merge_sort,1000,sorted,0.000712290988303721
merge_sort,1000,reverse-sorted,0.0007134169572964311
merge_sort,5000,random,0.006476374925114214
merge_sort,5000,sorted,0.0039670419646427035
merge_sort,5000,reverse-sorted,0.0042149999644607306
merge_sort,10000,random,0.013676833012141287
merge_sort,10000,sorted,0.008412791998125613
merge_sort,10000,reverse-sorted,0.008894333033822477
merge_sort,50000,random,0.07831037498544902
merge_sort,50000,sorted,0.04728929197881371
merge_sort,50000,reverse-sorted,0.04945120809134096
quicksort,100,random,9.733403567224741e-05
quicksort,100,sorted,4.737498238682747e-05
quicksort,100,reverse-sorted,4.462490323930979e-05
quicksort,500,random,0.0004183750133961439
quicksort,500,sorted,0.0002599171129986644
quicksort,500,reverse-sorted,0.00026716699358075857
quicksort,1000,random,0.0008912910707294941
quicksort,1000,sorted,0.0005597919225692749
quicksort,1000,reverse-sorted,0.0005549580091610551
quicksort,5000,random,0.00517695804592222
quicksort,5000,sorted,0.0033952080411836505
quicksort,5000,reverse-sorted,0.003387667005881667
quicksort,10000,random,0.01106133300345391
quicksort,10000,sorted,0.0071378330467268825
quicksort,10000,reverse-sorted,0.0071055409498512745
quicksort,50000,random,0.06359745899681002
quicksort,50000,sorted,0.040075208991765976
quicksort,50000,reverse-sorted,0.04035312496125698
linear_search,100,random,2.540997229516506e-06
linear_search,100,sorted,1.7919810488820076e-06
linear_search,100,reverse-sorted,1.250067725777626e-06
linear_search,500,random,1.5999889001250267e-05
linear_search,500,sorted,5.749985575675964e-06
linear_search,500,reverse-sorted,4.625064320862293e-06
linear_search,1000,random,2.4999957531690598e-05
linear_search,1000,sorted,1.0541989468038082e-05
linear_search,1000,reverse-sorted,9.416020475327969e-06
linear_search,5000,random,4.724995233118534e-05
linear_search,5000,sorted,5.4333009757101536e-05
linear_search,5000,reverse-sorted,5.437503568828106e-05
linear_search,10000,random,0.00021324993576854467
linear_search,10000,sorted,0.00010549998842179775
linear_search,10000,reverse-sorted,0.0001088329590857029
linear_search,50000,random,0.0008649579249322414
linear_search,50000,sorted,0.0006005419418215752
linear_search,50000,reverse-sorted,0.0005371250445023179
binary_search,100,random,4.208995960652828e-06
binary_search,100,sorted,1.00000761449337e-06
binary_search,100,reverse-sorted,7.919734343886375e-07
binary_search,500,random,2.2909371182322502e-06
binary_search,500,sorted,1.500011421740055e-06
binary_search,500,reverse-sorted,1.4159595593810081e-06
binary_search,1000,random,2.500019036233425e-06
binary_search,1000,sorted,2.125045284628868e-06
binary_search,1000,reverse-sorted,2.00001522898674e-06
binary_search,5000,random,8.416012860834599e-06
binary_search,5000,sorted,1.2082979083061218e-05
binary_search,5000,reverse-sorted,8.582952432334423e-06
binary_search,10000,random,2.4333014152944088e-05
binary_search,10000,sorted,2.562499139457941e-05
binary_search,10000,reverse-sorted,1.641607377678156e-05
binary_search,50000,random,9.575008880347013e-05
binary_search,50000,sorted,0.00012800004333257675
binary_search,50000,reverse-sorted,7.954193279147148e-05
